regiao_codigo,regiao_nome,dormidas,ano,origem
1500814,Tavira,758824.0,2024,Total
1500815,Vila do Bispo,476643.0,2024,Total
1500816,Vila Real de Santo António,1010837.0,2024,Total
2,Região Autónoma dos Açores,3027576.0,2024,Total
20,Região Autónoma dos Açores,3027576.0,2024,Total
200,Região Autónoma dos Açores,3027576.0,2024,Total
2004301,Angra do Heroísmo,358467.0,2024,Total
2004501,Calheta,6581.0,2024,Total
2004901,Corvo,4187.0,2024,Total
2004701,Horta,200228.0,2024,Total
2004201,Lagoa,141477.0,2024,Total
2004801,Lajes das Flores,22678.0,2024,Total
2004601,Lajes do Pico,21272.0,2024,Total
2004602,Madalena,108064.0,2024,Total
2004202,Nordeste,31778.0,2024,Total
2004203,Ponta Delgada,1523684.0,2024,Total
2004204,Povoação,111873.0,2024,Total
2004205,Ribeira Grande,144907.0,2024,Total
2004401,Santa Cruz da Graciosa,18548.0,2024,Total
2004802,Santa Cruz das Flores,27931.0,2024,Total
2004603,São Roque do Pico,33514.0,2024,Total
2004502,Velas,58467.0,2024,Total
2004302,Vila da Praia da Vitória,96347.0,2024,Total
2004101,Vila do Porto,47042.0,2024,Total
2004206,Vila Franca do Campo,70531.0,2024,Total
3,Região Autónoma da Madeira,9552517.0,2024,Total
30,Região Autónoma da Madeira,9552517.0,2024,Total
300,Região Autónoma da Madeira,9552517.0,2024,Total
3003101,Calheta,439413.0,2024,Total
3003102,Câmara de Lobos,222224.0,2024,Total
3003103,Funchal,6321734.0,2024,Total
3003104,Machico,238885.0,2024,Total
3003105,Ponta do Sol,113539.0,2024,Total
3003106,Porto Moniz,107978.0,2024,Total
3003201,Porto Santo,499890.0,2024,Total
3003107,Ribeira Brava,97181.0,2024,Total
3003108,Santa Cruz,1122723.0,2024,Total
3003109,Santana,162049.0,2024,Total
3003110,São Vicente,226901.0,2024,Total
,PT: Portugal,23841074.0,2024,Portugal
1,Continente,21389416.0,2024,Portugal
11,Norte,5211320.0,2024,Portugal
111,Alto Minho,573502.0,2024,Portugal
1111601,Arcos de Valdevez,76095.0,2024,Portugal
1111602,Caminha,62702.0,2024,Portugal
1111603,Melgaço,38891.0,2024,Portugal
1111604,Monção,34757.0,2024,Portugal
1111605,Paredes de Coura,6569.0,2024,Portugal
1111606,Ponte da Barca,26957.0,2024,Portugal
1111607,Ponte de Lima,69326.0,2024,Portugal
1111608,Valença,44903.0,2024,Portugal
1111609,Viana do Castelo,157088.0,2024,Portugal
1111610,Vila Nova de Cerveira,56214.0,2024,Portugal
112,Cávado,604918.0,2024,Portugal
1120301,Amares,27029.0,2024,Portugal
1120302,Barcelos,36880.0,2024,Portugal
1120303,Braga,321322.0,2024,Portugal
1120306,Esposende,72323.0,2024,Portugal
1120310,Terras de Bouro,125216.0,2024,Portugal
1120313,Vila Verde,22148.0,2024,Portugal
119,Ave,383116.0,2024,Portugal
1190304,Cabeceiras de Basto,11027.0,2024,Portugal
1190307,Fafe,21076.0,2024,Portugal
1190308,Guimarães,184788.0,2024,Portugal
1191705,Mondim de Basto,50395.0,2024,Portugal
1190309,Póvoa de Lanhoso,15856.0,2024,Portugal
1190311,Vieira do Minho,43747.0,2024,Portugal
1190312,Vila Nova de Famalicão,37091.0,2024,Portugal
1190314,Vizela,19136.0,2024,Portugal
,11A: Área Metropolitana do Porto,2495583.0,2024,Portugal
,11A0104: Arouca,29285.0,2024,Portugal
,11A0107: Espinho,61586.0,2024,Portugal
,11A1304: Gondomar,58960.0,2024,Portugal
,11A1306: Maia,138303.0,2024,Portugal
,11A1308: Matosinhos,336708.0,2024,Portugal
,11A0113: Oliveira de Azeméis,21441.0,2024,Portugal
,11A1310: Paredes,38111.0,2024,Portugal
